user_id,display_name,reputation,tags,link
3430345,user3430345,1761,"['python', 'pandas', 'perl', 'swift', 'c', 'ios', 'ios8', 'keyboard', 'language-agnostic', 'c++', 'algorithm', 'bit-manipulation', 'xcode', 'regex']",http://stackoverflow.com/users/3430345/user3430345
1609428,Noobie,1688,"['python', 'pandas', 'stata', 'r', 'datetime', 'apache-pig', 'anaconda', 'dataframe', 'hadoop', 'dplyr', 'cloudera', 'python-2.7', 'string', 'sql', 'latex', 'csv', 'lubridate', 'regression', 'twitter-bootstrap', 'regex', 'stargazer', 'matplotlib', 'json', 'dask', 'data.table', 'missing-data', 'performance', 'sas', 'responsive-design', 'rstudio']",http://stackoverflow.com/users/1609428/noobie
3895697,terrylynch,1613,"['kdb', 'q-lang', 'q', 'join', 'table', 'dotq', 'exxeleron-q', 'fifo', 'flip', 'isodate', 'average', 'conditional', 'csv', 'database-design', 'date', 'dictionary', 'key', 'list', 'logging', 'min', 'nested', 'nul', 'null', 'outer-join', 'pandas', 'python', 'where', 'where-clause', 'k', 'q-query']",http://stackoverflow.com/users/3895697/terrylynch
948655,Ray,1543,"['python', 'pycharm', 'pandas', 'c++', 'python-3.x', 'python-xarray', 'osx', 'module', 'multiprocessing', 'windows', 'vim', 'notepad++', 'numpy', 'opencv', 'caffe', 'pycaffe', 'plot', 'class', 'matplotlib', 'jupyter', 'opencv3.1', 'nested', 'c++11', 'blender', 'dictionary', 'file', 'hyperthreading', 'cmake', 'series', 'ubuntu-15.04']",http://stackoverflow.com/users/948655/ray
1290147,Luis Miguel,1537,"['python', 'pandas', 'matplotlib', 'numpy', 'ipython-notebook', 'openrefine', 'seaborn', 'plot', 'nltk', 'character-encoding', 'freebase', 'encoding', 'enthought', 'ipython', 'dictionary', 'lxml', 'osx', 'regex', 'statsmodels', 'python-2.7', 'osx-lion', 'libxml2', 'libxslt', 'javascript', 'json', 'kml', 'api', 'bokeh', 'canopy', 'datetime']",http://stackoverflow.com/users/1290147/luis-miguel
2378710,Jamgreen,1532,"['javascript', 'node.js', 'django', 'python', 'meteor', 'django-models', 'mongodb', 'django-views', 'arrays', 'jquery', 'django-templates', 'html', 'django-forms', 'meteor-autoform', 'numpy', 'mongoose', 'css', 'django-queryset', 'iron-router', 'regex', 'templates', 'twitter-bootstrap', 'sql', 'matplotlib', 'math', 'flow-router', 'cytoscape.js', 'database', 'ecmascript-6', 'mysql']",http://stackoverflow.com/users/2378710/jamgreen
2821224,9blue,1450,"['angularjs', 'javascript', 'python', 'numpy', 'pandas', 'scipy', 'jquery', 'css', 'angularjs-scope', 'unit-testing', 'css3', 'angular-ngmodel', 'angularjs-directive', 'karma-jasmine', 'karma-runner', 'html', 'datetime', 'python-2.7', 'sql', 'sql-server', 'twitter-bootstrap', 'twitter-bootstrap-3', 'scrollbar', 'server-sent-events', 'settimeout', 'sparse-matrix', 'python-collections', 'razor', 'regex', 'responsive-design']",http://stackoverflow.com/users/2821224/9blue
1496984,user1496984,1426,"['python', 'javascript', 'pandas', 'django', 'azure', 'django-models', 'docker', 'gevent', 'datetime', 'matplotlib', 'asynchronous', 'reactjs', 'promise', 'numpy', 'tornado', 'ssh', 'merge', 'ios', 'ipython', 'jquery', 'json', 'mysql', 'concurrency', 'azure-cli', 'airplay', 'ajax', 'html', 'docker-machine', 'unicode', 'webdriver']",http://stackoverflow.com/users/1496984/user1496984
847663,Ginger,1415,"['python', 'numpy', 'pandas', 'anaconda', 'python-3.x', 'pydev', 'numba', 'ipython', 'google-app-engine', 'php', 'c#', 'unity3d', 'python-3.3', 'unit-testing', 'matlab', 'mysql', 'pygraphviz', 'cython', 'urllib', 'ubuntu', 'scikit-learn', 'eclipse', 'android', 'parallel-processing', 'multiprocessing', 'matplotlib', 'libgdx', 'ipython-notebook', 'multithreading', 'mysql-workbench']",http://stackoverflow.com/users/847663/ginger
668624,codingknob,1391,"['python', 'pandas', 'r', 'mysql', 'sql', 'dataframe', 'sql-server', 'xts', 'slice', 'datetime', 'indexing', 'group-by', 'dictionary', 'csv', 'sqlalchemy', 'merge', 'plot', 'split', 'ipython', 'matplotlib', 'zoo', 'tuples', 'list', 'join', 'linux', 'insert', 'import', 'importerror', 'date', 'attributeerror']",http://stackoverflow.com/users/668624/codingknob
